0.00	0.000
0.01	1.866
0.02	3.512
0.03	4.960
0.04	6.231
0.05	7.345
0.06	8.321
0.07	9.177
0.08	9.929
0.09	10.594
0.10	11.186
0.11	11.718
0.12	12.204
0.13	12.654
0.14	13.080
0.15	13.492
0.16	13.900
0.17	14.310
0.18	14.732
0.19	15.171
0.20	15.634
0.21	16.127
0.22	16.653
0.23	17.218
0.24	17.824
0.25	18.475
0.26	19.173
0.27	19.920
0.28	20.717
0.29	21.566
0.30	22.466
0.31	23.418
0.32	24.421
0.33	25.476
0.34	26.581
0.35	27.734
0.36	28.935
0.37	30.182
0.38	31.473
0.39	32.806
0.40	34.178
0.41	35.589
0.42	37.034
0.43	38.513
0.44	40.022
0.45	41.559
0.46	43.122
0.47	44.709
0.48	46.318
0.49	47.946
0.50	49.592
0.51	51.254
0.52	52.930
0.53	54.621
0.54	56.323
0.55	58.038
0.56	59.765
0.57	61.504
0.58	63.255
0.59	65.019
0.60	66.799
0.61	68.595
0.62	70.411
0.63	72.248
0.64	74.112
0.65	76.005
0.66	77.933
0.67	79.901
0.68	81.915
0.69	83.983
0.70	86.111
0.71	88.308
0.72	90.584
0.73	92.948
0.74	95.412
0.75	97.986
0.76	100.685
0.77	103.521
0.78	106.509
0.79	109.666
0.80	113.007
0.81	116.551
0.82	120.317
0.83	124.324
0.84	128.594
0.85	133.150
0.86	138.014
0.87	143.213
0.88	148.771
0.89	154.718
0.90	161.081
0.91	167.891
0.92	175.179
0.93	182.979
0.94	191.324
0.95	200.252
0.96	209.800
0.97	220.006
0.98	230.911
0.99	242.558
1.00	255.0
